   h    k    l       d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   7    7    6   0.886070    16.093305   -36.440529       39.836        nan        nan   12
  10    5    3   0.886070    -1.107814   -32.054185      32.0733        nan        nan   12
   3   11   -2   0.886070     4.651671     9.061552      10.1858        nan        nan   12
   3   11    2   0.886070    -4.651671     9.061552      10.1858        nan        nan   12
  11    3    2   0.886070   -20.694454     8.002745      22.1879        nan        nan   12
   7    9   -2   0.886070   -68.616790    -5.519386      68.8384        nan        nan   12
   7    9    2   0.886070    68.616790    -5.519386      68.8384        nan        nan   12
   9    7   -2   0.886070     2.158784     3.821883      4.38944        nan        nan   12
   9    7    2   0.886070    -2.158784     3.821883      4.38944        nan        nan   12
   5   10   -3   0.886070   -10.936765    25.367496      27.6247        nan        nan   12
   5   10    3   0.886070   -10.936765   -25.367496      27.6247        nan        nan   12
  10    5   -3   0.886070     1.107814   -32.054185      32.0733        nan        nan   12
  11    3   -2   0.886070    20.694454     8.002745      22.1879        nan        nan   12
   8    6   -6   0.879530    34.855407   -29.470618      45.6445        nan        nan   12
   8    6    6   0.879530    34.855407    29.470618      45.6445        nan        nan   12
   6   10    0   0.879530    20.691413    -0.000000      20.6914        nan        nan   12
  10    6    0   0.879530   -45.071025     0.000000       45.071        nan        nan   12
   4   11   -1   0.873134   -31.228126    11.677583      33.3401        nan        nan   12
   4   11    1   0.873134    31.228126    11.677583      33.3401        nan        nan   12
  11    4   -1   0.873134   -17.939029    10.685972      20.8806        nan        nan   12
  11    4    1   0.873134   -17.939029   -10.685972      20.8806        nan        nan   12
   7    8   -5   0.873134   -40.679645     1.788876       40.719        nan        nan   12
   7    8    5   0.873134   -40.679645    -1.788876       40.719        nan        nan   12
   8    7   -5   0.873134   -40.182507    11.199005      41.7139        nan        nan   12
   8    7    5   0.873134    40.182507    11.199005      41.7139        nan        nan   12
   6   10   -2   0.866875   -36.108935    -9.489190       37.335        nan        nan   12
   6   10    2   0.866875   -36.108935     9.489190       37.335        nan        nan   12
  10    6   -2   0.866875   -35.859092    -4.456540       36.135        nan        nan   12
  10    6    2   0.866875   -35.859092     4.456540       36.135        nan        nan   12
   6    9    5   0.860748    -6.586433    -6.378052      9.16846        nan        nan   12
   9    6    5   0.860748   -46.196844    -6.272405      46.6207        nan        nan   12
   6    9   -5   0.860748     6.586433    -6.378052      9.16846        nan        nan   12
   9    6   -5   0.860748   -46.196844     6.272405      46.6207        nan        nan   12
   8    8   -4   0.854750   134.766442   -26.931789      137.431        nan        nan   12
   8    8    4   0.854750   134.766442    26.931789      137.431        nan        nan   12
  12    0    0   0.854750   -80.919650     0.000000      80.9196        nan        nan    6
   8    9    1   0.848875     8.903736    18.858583      20.8548        nan        nan   12
   7    9    4   0.848875   -38.797082    -8.957226      39.8177        nan        nan   12
   9    7   -4   0.848875   -10.711972    -9.578858      14.3701        nan        nan   12
   9    7    4   0.848875    10.711972    -9.578858      14.3701        nan        nan   12
   5   11    0   0.848875     0.000000    33.568791      33.5688        nan        nan   12
   4   11   -3   0.848875    -9.904155    23.558984      25.5562        nan        nan   12
   4   11    3   0.848875     9.904155    23.558984      25.5562        nan        nan   12
  11    4   -3   0.848875   -21.314383    -1.634513       21.377        nan        nan   12
  11    4    3   0.848875   -21.314383     1.634513       21.377        nan        nan   12
  11    5    0   0.848875    -0.000000    -3.041273      3.04127        nan        nan   12
   8    9   -1   0.848875    -8.903736    18.858583      20.8548        nan        nan   12
   7    9   -4   0.848875    38.797082    -8.957226      39.8177        nan        nan   12
   9    8   -1   0.848875   -13.771315   -17.054491      21.9204        nan        nan   12
   9    8    1   0.848875   -13.771315    17.054491      21.9204        nan        nan   12
  12    1   -1   0.848875   -31.616048    -3.143817       31.772        nan        nan   12
  12    1    1   0.848875    31.616048    -3.143817       31.772        nan        nan   12
   2   12    0   0.843120    38.178759    -0.000000      38.1788        nan        nan   12
  12    2    0   0.843120   -25.402001     0.000000       25.402        nan        nan   12
   7   10   -1   0.837481   -74.390895   -12.620169      75.4538        nan        nan   12
   7   10    1   0.837481   -74.390895    12.620169      75.4538        nan        nan   12
  10    5    5   0.837481   -52.877476     5.616976       53.175        nan        nan   12
  10    7   -1   0.837481    74.560936     9.170431      75.1228        nan        nan   12
  10    7    1   0.837481   -74.560936     9.170431      75.1228        nan        nan   12
   5   11   -2   0.837481   -26.048480    37.795189      45.9021        nan        nan   12
   5   11    2   0.837481    26.048480    37.795189      45.9021        nan        nan   12
  11    5   -2   0.837481    12.460328     3.735814      13.0083        nan        nan   12
  11    5    2   0.837481   -12.460328     3.735814      13.0083        nan        nan   12
  10    5   -5   0.837481    52.877476     5.616976       53.175        nan        nan   12
  12    2    2   0.831953     5.413200    20.357593       21.065        nan        nan   12
   6   10   -4   0.831953     8.568164   -18.850401      20.7063        nan        nan   12
   6   10    4   0.831953     8.568164    18.850401      20.7063        nan        nan   12
  10    6   -4   0.831953    23.512930   -24.101428       33.671        nan        nan   12
  10    6    4   0.831953    23.512930    24.101428       33.671        nan        nan   12
  12    2   -2   0.831953     5.413200   -20.357593       21.065        nan        nan   12
   3   12   -1   0.826533    -9.402719     4.320892       10.348        nan        nan   12
   3   12    1   0.826533    -9.402719    -4.320892       10.348        nan        nan   12
  12    3   -1   0.826533     2.446523    51.154826      51.2133        nan        nan   12
  12    3    1   0.826533    -2.446523    51.154826      51.2133        nan        nan   12
   8    9   -3   0.826533    12.014807    -3.285762       12.456        nan        nan   12
   8    9    3   0.826533   -12.014807    -3.285762       12.456        nan        nan   12
   9    8   -3   0.826533   -29.892570    20.370990      36.1738        nan        nan   12
   9    8    3   0.826533   -29.892570   -20.370990      36.1738        nan        nan   12
  10    7    3   0.816003   -24.304482    21.916572      32.7268        nan        nan   12
   6   11   -1   0.816003    90.609015    14.764030       91.804        nan        nan   12
   6   11    1   0.816003   -90.609015    14.764030       91.804        nan        nan   12
  11    6   -1   0.816003   -24.799310   -26.416970      36.2334        nan        nan   12
  11    6    1   0.816003   -24.799310    26.416970      36.2334        nan        nan   12
   7   10   -3   0.816003    23.869194     6.033904        24.62        nan        nan   12
   7   10    3   0.816003    23.869194    -6.033904        24.62        nan        nan   12
  10    7   -3   0.816003    24.304482    21.916572      32.7268        nan        nan   12
   4   12    0   0.810887    50.709864    -0.000000      50.7099        nan        nan   12
  12    4    0   0.810887    69.097922    -0.000000      69.0979        nan        nan   12
   8    7   -7   0.805866     3.302828    11.541899      12.0052        nan        nan   12
   8    7    7   0.805866    -3.302828    11.541899      12.0052        nan        nan   12
   9    9    0   0.805866     0.000000     0.276936     0.276936        nan        nan   12
   5   11   -4   0.805866    31.158460    47.127343      56.4963        nan        nan   12
   5   11    4   0.805866   -31.158460    47.127343      56.4963        nan        nan   12
  11    5   -4   0.805866    -1.355960    18.451596      18.5014        nan        nan   12
  11    5    4   0.805866     1.355960    18.451596      18.5014        nan        nan   12
  12    3   -3   0.805866     1.838849    41.051420      41.0926        nan        nan   12
  12    3    3   0.805866    -1.838849    41.051420      41.0926        nan        nan   12
   4   12    2   0.800937   -71.562572   -38.843882      81.4251        nan        nan   12
   8    8    6   0.800937   -19.787844    16.296933      25.6349        nan        nan   12
   8   10    0   0.800937   -33.130489     0.000000      33.1305        nan        nan   12
  10    8    0   0.800937    71.247133    -0.000000      71.2471        nan        nan   12
